INDEX OF INDUSTRIAL PRODUCTION,,,,,,,,,,,,,
"TIME SERIES, 2000-2014",,,,,,,,,,,,,
,,,,,,,,,,,,,"Base year: 2010 = 100,0"
YEAR,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,Yearly Average
2000,81.9,84.8,94.2,89.4,93.8,100.9,102.9,72.3,96.9,95.8,88.1,85.3,90.5
2001,85.3,79.9,92.5,86.2,98.4,99.4,106.7,75.9,97.9,100.9,95.1,88.4,92.2
2002,87.1,83.6,93.3,100.4,98.1,103.8,111.6,77.3,102.8,102.2,93.7,96.2,95.8
2003,92.6,88.4,96.2,94.2,102.5,102.8,113.1,76.5,106.9,103.9,95.3,99.5,97.7
2004,93.0,90.4,103.5,98.7,98.4,107.0,113.3,76.5,107.6,102.3,100.9,103.2,99.6
2005,91.7,93.6,103.7,100.2,102.2,106.9,112.6,82.4,106.3,100.9,100.8,102.7,100.3
2006,92.9,91.9,100.8,91.1,107.2,110.2,113.2,87.3,109.3,105.1,101.6,103.5,101.2
2007,95.0,92.3,105.7,95.3,110.6,115.3,124.8,87.1,111.0,111.9,110.6,111.0,105.9
2008,103.1,103.7,105.3,105.5,115.7,118.7,131.7,84.5,116.5,112.1,106.6,109.9,109.4
2009,93.2,93.9,97.3,93.5,102.3,110.3,123.3,79.2,107.7,103.4,101.7,102.8,100.7
2010,90.9,90.3,103.6,92.7,103.0,109.2,116.9,82.8,110.7,99.7,100.0,100.3,100.0
2011,88.8,90.1,96.9,89.3,100.5,102.8,103.2,74.2,97.0,90.2,89.4,92.5,92.9
2012,79.8,81.3,82.9,81.6,90.2,90.6,99.4,71.5,86.8,84.4,78.9,75.2,83.6
2013,68.9,66.5,67.4,73.2,76.0,76.7,88.2,67.1,76.6,74.8,69.0,71.1,73.0
2014,64.6,65.5,68.5,68.8,77.7,79.5,88.9,66.3,79.3,74.5,,,73.4
(Last Update 30/12/2014),,,,,,,,,,,,,
"COPYRIGHT: 2014 - REPUBLIC OF CYPRUS - STATISTICAL SERVICE",,,,,,,,,,,,,